review_id,strategy_id,query_sha256,reviewer_id,review_date_utc,question_number,criterion,rating,comment,required_change,resolution,status
PRESS-K1-01,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:27.395Z,1,연구질문과 검색개념의 일치,yes,,,accepted_without_change,completed
PRESS-K1-02,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:27.621Z,2,주제명(MeSH)과 자유어 누락,yes,,,accepted_without_change,completed
PRESS-K1-03,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:27.793Z,3,철자·구문·괄호·필드 태그,yes,,,accepted_without_change,completed
PRESS-K1-04,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:27.950Z,4,Boolean 연산자와 근접연산자 사용,yes,,,accepted_without_change,completed
PRESS-K1-05,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:28.113Z,5,지나치게 넓거나 좁은 검색 블록,yes,,,accepted_without_change,completed
PRESS-K1-06,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:28.286Z,6,알려진 핵심 문헌 회수,yes,,,accepted_without_change,completed
PRESS-K1-07,K1,3bdcd51bdd23652f730efc78f7bc7a4669007c22dd4fefff0b18b7c5a8c09c46,권혁찬,2026-07-13T11:26:28.444Z,7,불필요한 제한과 편향 위험,yes,,,accepted_without_change,completed
PRESS-K2-01,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:28.602Z,1,연구질문과 검색개념의 일치,yes,,,accepted_without_change,completed
PRESS-K2-02,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:28.777Z,2,주제명(MeSH)과 자유어 누락,yes,,,accepted_without_change,completed
PRESS-K2-03,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:28.963Z,3,철자·구문·괄호·필드 태그,yes,,,accepted_without_change,completed
PRESS-K2-04,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:29.162Z,4,Boolean 연산자와 근접연산자 사용,yes,,,accepted_without_change,completed
PRESS-K2-05,K2,5de13728b4ef4261f5bf81eb31ba2f6a00f23279b7248b256d60b924a20315cc,권혁찬,2026-07-13T11:26:30.342Z,5,지나치게 넓거나 좁은 검색 블록,yes,,,accepted_without_change,completed
