seed_id,node_id,pmid,retrieved,search_version,assessment
SEED-K1-001,K1,31005969,true,0.1,pass
SEED-K1-002,K1,30180273,true,0.1,pass
SEED-K1-003,K1,27765695,true,0.1,pass
SEED-K1-004,K1,22422535,true,0.1,pass
SEED-K1-005,K1,24937025,true,0.1,pass
SEED-K2-001,K2,6308447,true,0.2,pass
SEED-K2-002,K2,37447150,true,0.2,pass
SEED-K2-003,K2,37207271,true,0.2,pass
SEED-K2-004,K2,33619867,true,0.2,pass
SEED-K3-001,K3,25700159,true,0.2,pass
SEED-K3-002,K3,23252877,true,0.2,pass
SEED-K3-003,K3,24899360,true,0.2,pass
SEED-K3-004,K3,37010569,true,0.2,pass
SEED-K4-001,K4,30805197,true,0.2,pass
SEED-K4-002,K4,30136128,true,0.2,pass
SEED-K4-003,K4,29988705,true,0.2,pass
SEED-K4-004,K4,37487817,true,0.2,pass
SEED-K4-005,K4,39218658,true,0.2,pass
SEED-K5-001,K5,2407097,true,0.2,pass
SEED-K5-002,K5,37640593,true,0.2,pass
SEED-K5-003,K5,37736439,true,0.2,pass
SEED-K5-004,K5,38846187,true,0.2,pass
